Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
61d62de9-8c2a-4689-8a0f-7dc8be3dc747,"2020-06-30, 03:35:06 PM",CloudTrail,StopLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:855205641508:trail/Udacity_Trail""}]",,us-east-1,,72.211.254.10
170809bf-52b0-450e-825b-2a1be49176f1,"2020-06-30, 03:28:41 PM",CloudTrail,CreateTrail,CloudTrail Trail and 1 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:855205641508:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""project2cloudtrailv1""}]",,us-east-1,,72.211.254.10
2bd1cc5d-5ef7-47ce-b545-a02ed8a59ddb,"2020-06-30, 03:28:41 PM",CloudTrail,StartLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",,us-east-1,,72.211.254.10
53bfd891-a46a-4702-baf2-42314d7e659e,"2020-06-30, 03:28:41 PM",CloudTrail,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""project2cloudtrailv1""}]",,us-east-1,,72.211.254.10
b1449722-704b-46cf-b9f6-daea6f3a0850,"2020-06-30, 03:28:41 PM",CloudTrail,PutEventSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:855205641508:trail/Udacity_Trail""}]",,us-east-1,,72.211.254.10
78e8d459-2751-4417-8424-b4edf17abc2d,"2020-06-30, 03:28:40 PM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""project2cloudtrailv1""}]",,us-east-1,,72.211.254.10
eb27be39-5df4-4d93-bbff-969d24747a0c,"2020-06-30, 03:25:30 PM",Admin,DeleteBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""project2cloudtrail""}]",,us-east-1,,72.211.254.10
715e0693-0872-4a29-bbb8-fbbd0e96b1a4,"2020-06-30, 03:25:29 PM",Admin,DeleteBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""project2cloudtrail""}]",,us-east-1,BucketNotEmpty,72.211.254.10
05ad8625-1344-41ed-9fb3-e609dc1c67af,"2020-06-30, 03:25:08 PM",Admin,DeleteBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacityproject2cloudtrail""}]",,us-east-1,,72.211.254.10
8a8aa2ff-2d40-47b0-935e-5ee4e9974f5d,"2020-06-30, 03:20:57 PM",CloudTrail,CreateTrail,CloudTrail Trail and 1 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacityproject2cloudtrail""}]",,us-east-1,InsufficientS3BucketPolicyException,72.211.254.10
